0.3um,co2,date,time,weather_idx
450,590,2026-01-12,20.785555555555558,98
656,544,2026-01-12,20.788333333333334,98
287,501,2026-01-12,20.791111111111114,98
251,476,2026-01-12,20.79388888888889,98
241,455,2026-01-12,20.796666666666667,98
209,444,2026-01-12,20.799444444444447,98
164,435,2026-01-12,20.802222222222223,98
194,430,2026-01-12,20.805,98
232,427,2026-01-12,20.80777777777778,98
282,424,2026-01-12,20.810555555555556,98
517,423,2026-01-12,20.813333333333333,98
1089,422,2026-01-12,20.816111111111113,98
988,421,2026-01-12,20.81888888888889,98
376,420,2026-01-12,20.821666666666665,98
708,419,2026-01-12,20.824444444444445,98
1637,419,2026-01-12,20.827222222222222,98
1276,417,2026-01-12,20.83,98
531,416,2026-01-12,20.83277777777778,98
291,415,2026-01-12,20.835555555555555,98
160,415,2026-01-12,20.83833333333333,98
147,415,2026-01-12,20.84111111111111,98
152,415,2026-01-12,20.843888888888888,98
160,414,2026-01-12,20.846666666666664,98
191,414,2026-01-12,20.849444444444444,98
191,414,2026-01-12,20.852222222222224,98
205,414,2026-01-12,20.855,98
178,414,2026-01-12,20.85777777777778,98
181,414,2026-01-12,20.860555555555557,98
215,413,2026-01-12,20.863333333333333,98
204,413,2026-01-12,20.866111111111113,98
190,413,2026-01-12,20.86888888888889,98
186,413,2026-01-12,20.871666666666666,98
193,413,2026-01-12,20.874444444444446,98
171,413,2026-01-12,20.877222222222223,98
167,413,2026-01-12,20.88,98
184,412,2026-01-12,20.88277777777778,98
205,412,2026-01-12,20.885555555555555,98
254,411,2026-01-12,20.888333333333332,98
222,410,2026-01-12,20.891111111111112,98
171,409,2026-01-12,20.89388888888889,98
167,409,2026-01-12,20.896666666666665,98
222,409,2026-01-12,20.899444444444445,98
232,409,2026-01-12,20.90222222222222,98
224,410,2026-01-12,20.904999999999998,98
215,410,2026-01-12,20.907777777777778,98
205,410,2026-01-12,20.910555555555554,98
195,410,2026-01-12,20.91333333333333,98
201,411,2026-01-12,20.91611111111111,98
221,411,2026-01-12,20.91888888888889,98
165,411,2026-01-12,20.921666666666667,98
210,411,2026-01-12,20.924444444444447,98
227,411,2026-01-12,20.927222222222223,98
196,412,2026-01-12,20.93,98
177,412,2026-01-12,20.93277777777778,98
196,412,2026-01-12,20.935555555555556,98
207,412,2026-01-12,20.938333333333333,98
195,412,2026-01-12,20.941111111111113,98
203,412,2026-01-12,20.94388888888889,98
192,412,2026-01-12,20.946666666666665,98
189,412,2026-01-12,20.949444444444445,98
230,412,2026-01-12,20.952222222222222,98
210,411,2026-01-12,20.955,98
225,412,2026-01-12,20.95777777777778,98
205,412,2026-01-12,20.960555555555555,98
183,412,2026-01-12,20.96333333333333,98
197,412,2026-01-12,20.96611111111111,98
164,412,2026-01-12,20.968888888888888,98
163,412,2026-01-12,20.971666666666664,98
192,412,2026-01-12,20.974444444444444,98
252,412,2026-01-12,20.97722222222222,98
262,412,2026-01-12,20.979999999999997,98
183,412,2026-01-12,20.982777777777777,98
187,412,2026-01-12,20.985555555555557,98
183,412,2026-01-12,20.988333333333333,98
144,412,2026-01-12,20.991111111111113,98
159,412,2026-01-12,20.99388888888889,98
213,412,2026-01-12,20.996666666666666,98
210,413,2026-01-12,20.999444444444446,98
238,413,2026-01-12,21.002222222222223,98
188,413,2026-01-12,21.005,98
147,413,2026-01-12,21.00777777777778,98
154,413,2026-01-12,21.010555555555555,98
133,413,2026-01-12,21.013333333333332,98
183,413,2026-01-12,21.016111111111112,98
204,412,2026-01-12,21.01888888888889,98
174,412,2026-01-12,21.021666666666665,98
234,412,2026-01-12,21.024444444444445,98
243,412,2026-01-12,21.02722222222222,98
200,412,2026-01-12,21.029999999999998,98
237,412,2026-01-12,21.032777777777778,98
297,413,2026-01-12,21.035555555555558,98
225,413,2026-01-12,21.038333333333334,98
155,413,2026-01-12,21.041111111111114,98
165,413,2026-01-12,21.04388888888889,98
221,413,2026-01-12,21.046666666666667,98
255,413,2026-01-12,21.049444444444447,98
173,413,2026-01-12,21.052222222222223,98
120,413,2026-01-12,21.055,98
156,413,2026-01-12,21.05777777777778,98
207,413,2026-01-12,21.060555555555556,98
243,412,2026-01-12,21.063333333333333,98
216,412,2026-01-12,21.066111111111113,98
192,412,2026-01-12,21.06888888888889,98
230,412,2026-01-12,21.071666666666665,98
191,412,2026-01-12,21.074444444444445,98
169,412,2026-01-12,21.077222222222222,98
226,412,2026-01-12,21.08,98
366,412,2026-01-12,21.08277777777778,98
282,412,2026-01-12,21.085555555555555,98
216,412,2026-01-12,21.08833333333333,98
181,412,2026-01-12,21.09111111111111,98
192,412,2026-01-12,21.093888888888888,98
216,412,2026-01-12,21.096666666666664,98
201,412,2026-01-12,21.099444444444444,98
196,412,2026-01-12,21.102222222222224,98
200,412,2026-01-12,21.105,98
