Date,Time (EST),Wind,Visibility (mi),Weather,Sky Condition,Air Temp (F),Dew Point (F),6hr Max Temp (F),6hr Min Temp (F),Relative Humidity (%),Wind Chill (F),Heat Index (F),Altimeter (in),Sea Level Pressure (mb),Precip 1hr (in),Precip 3hr (in),Precip 6hr (in)
09,11:54,S 15,10.00,Mostly Cloudy,SCT020 SCT140 BKN250,44.1,37.9,,,79,38,,30.25,1024.1,,,
09,10:54,SE 8,10.00,A Few Clouds,FEW030 FEW160 FEW250,37.9,34.0,,,86,33,,30.28,1025.3,,,
09,09:54,S 6,10.00,A Few Clouds,FEW002 FEW160 FEW250,35.1,33.1,,,93,31,,30.32,1026.6,,,
09,08:54,S 5,10.00,A Few Clouds,FEW003 FEW160 FEW250,33.1,30.9,,,92,29,,30.32,1026.5,,,
09,07:54,SE 3,10.00,Mostly Cloudy,BKN160 BKN250,30.9,28.9,,,92,,,30.31,1026.3,,,
09,06:54,S 3,10.00,Mostly Cloudy,FEW140 BKN250,30.0,28.9,32,27,96,,,30.32,1026.7,,,
09,05:54,S 5,10.00,A Few Clouds,FEW003 FEW250,27.0,27.0,,,100,22,,30.33,1027.1,,,
09,04:54,Calm,10.00,A Few Clouds,FEW003,30.0,28.9,,,96,,,30.33,1026.8,,,
09,03:54,Calm,10.00,A Few Clouds,FEW250,30.0,28.9,,,96,,,30.34,1027.3,,,
09,02:54,SW 3,10.00,A Few Clouds,FEW250,28.9,28.9,,,100,,,30.33,1027.1,,,
09,01:54,Calm,10.00,Fair,CLR,32.0,30.9,,,96,,,30.32,1026.7,,,
09,00:54,Calm,10.00,Fair,CLR,32.0,30.0,42.1,30,92,,,30.32,1026.5,,,
08,23:54,Calm,10.00,Fair,CLR,35.1,30.0,,,82,,,30.31,1026.1,,,
08,22:54,W 7,10.00,Fair,CLR,37.0,30.9,,,79,32,,30.31,1026.3,,,
08,21:54,NW 5,10.00,Fair,CLR,37.9,30.9,,,76,35,,30.32,1026.5,,,
08,20:54,Calm,10.00,A Few Clouds,FEW250,39.0,32.0,,,76,,,30.29,1025.6,,,
08,19:54,SW 6,10.00,A Few Clouds,FEW250,37.9,30.9,,,76,34,,30.26,1024.6,,,
08,18:54,W 6,10.00,A Few Clouds,FEW250,41.0,32.0,48,41,70,38,,30.25,1024.2,,,
08,17:54,W 7,10.00,A Few Clouds,FEW250,42.1,32.0,,,68,38,,30.24,1023.9,,,
08,16:54,W 9,10.00,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63,38,,30.21,1023.0,,,
08,15:54,W 10,10.00,A Few Clouds,FEW035 FEW250,44.1,32.0,,,63,39,,30.19,1022.1,,,
08,14:54,NW 10,10.00,Partly Cloudy,SCT033 SCT250,46.9,34.0,,,61,43,,30.17,1021.6,,,
08,13:54,NW 9,10.00,Partly Cloudy,FEW055 SCT250,46.9,33.1,,,59,43,,30.15,1020.8,,,
08,12:54,NW 12 G 18,10.00,A Few Clouds,FEW055 FEW250,46.9,34.0,46.9,35.1,61,42,,30.14,1020.4,,,
