ms,UTC_timestamp,latitude,longitude,altitude,temperature,pressure
10000,2026-1-8T21:39:07+00:00,,,,22.70,102183.140
20000,2026-1-8T21:39:17+00:00,,,,22.55,102185.24
30000,2026-1-8T21:39:27+00:00,,,,22.33,102190.215
40000,2026-1-8T21:39:37+00:00,,,,22.19,102189.234
50000,2026-1-8T21:39:47+00:00,,,,22.4,102190.38
60000,2026-1-8T21:39:57+00:00,,,,21.86,102193.73
70000,2026-1-8T21:40:07+00:00,,,,21.66,102197.126
80000,2026-1-8T21:40:17+00:00,,,,21.48,102195.106
90000,2026-1-8T21:40:27+00:00,,,,21.29,102198.208
100000,2026-1-8T21:40:37+00:00,,,,21.17,102198.138
110000,2026-1-8T21:40:47+00:00,,,,20.98,102199.154
120000,2026-1-8T21:40:57+00:00,,,,20.79,102205.53
130000,2026-1-8T21:41:07+00:00,,,,20.61,102200.39
140000,2026-1-8T21:41:17+00:00,,,,20.52,102208.129
150000,2026-1-8T21:41:27+00:00,,,,20.43,102208.202
160000,2026-1-8T21:41:37+00:00,,,,20.33,102206.221
170000,2026-1-8T21:41:47+00:00,,,,20.22,102208.232
180000,2026-1-8T21:41:57+00:00,,,,20.13,102208.203
190000,2026-1-8T21:42:07+00:00,,,,19.99,102216.171
200000,2026-1-8T21:42:17+00:00,,,,19.92,102212.164
210000,2026-1-8T21:42:27+00:00,,,,19.81,102215.73
220000,2026-1-8T21:42:37+00:00,,,,19.72,102212.14
230000,2026-1-8T21:42:47+00:00,,,,19.59,102213.2
240000,2026-1-8T21:42:57+00:00,,,,19.49,102215.171
250000,2026-1-8T21:43:07+00:00,,,,19.42,102216.29
260000,2026-1-8T21:43:17+00:00,,,,19.31,102216.159
270000,2026-1-8T21:43:27+00:00,,,,19.20,102215.114
280000,2026-1-8T21:43:37+00:00,,,,19.7,102215.40
290000,2026-1-8T21:43:47+00:00,,,,18.95,102215.151
300000,2026-1-8T21:43:57+00:00,,,,18.86,102214.42
310000,2026-1-8T21:44:07+00:00,,,,18.78,102222.243
320000,2026-1-8T21:44:17+00:00,,,,18.69,102222.173
330000,2026-1-8T21:44:27+00:00,,,,18.60,102221.54
340000,2026-1-8T21:44:37+00:00,,,,18.45,102222.94
350000,2026-1-8T21:44:47+00:00,,,,18.32,102220.142
360000,2026-1-8T21:44:57+00:00,,,,18.24,102222.154
370000,2026-1-8T21:45:07+00:00,,,,18.17,102218.221
380000,2026-1-8T21:45:17+00:00,,,,18.9,102219.67
390000,2026-1-8T21:45:27+00:00,,,,18.2,102225.96
400000,2026-1-8T21:45:37+00:00,,,,17.90,102226.29
410000,2026-1-8T21:45:47+00:00,,,,17.75,102221.111
420000,2026-1-8T21:45:57+00:00,,,,17.69,102219.17
430000,2026-1-8T21:46:07+00:00,,,,17.64,102225.62
440000,2026-1-8T21:46:17+00:00,,,,17.58,102226.51
450000,2026-1-8T21:46:27+00:00,,,,17.48,102226.0
460000,2026-1-8T21:46:37+00:00,,,,17.40,102224.139
470000,2026-1-8T21:46:47+00:00,,,,17.34,102221.55
480000,2026-1-8T21:46:57+00:00,,,,17.25,102225.23
490000,2026-1-8T21:47:07+00:00,,,,17.15,102227.36
500000,2026-1-8T21:47:17+00:00,,,,17.6,102225.160
510000,2026-1-8T21:47:27+00:00,,,,16.98,102228.73
520000,2026-1-8T21:47:37+00:00,,,,16.87,102226.132
530000,2026-1-8T21:47:47+00:00,,,,16.80,102223.110
540000,2026-1-8T21:47:57+00:00,,,,16.73,102226.106
550000,2026-1-8T21:48:07+00:00,,,,16.66,102233.84
560000,2026-1-8T21:48:17+00:00,,,,16.59,102227.157
570000,2026-1-8T21:48:27+00:00,,,,16.54,102233.161
580000,2026-1-8T21:48:37+00:00,,,,16.47,102227.33
590000,2026-1-8T21:48:47+00:00,,,,16.41,102227.175
600000,2026-1-8T21:48:57+00:00,,,,16.35,102234.162
610000,2026-1-8T21:49:07+00:00,,,,16.28,102234.116
620000,2026-1-8T21:49:17+00:00,,,,16.19,102233.70
630000,2026-1-8T21:49:27+00:00,,,,16.12,102238.50
640000,2026-1-8T21:49:37+00:00,,,,15.98,102238.233
650000,2026-1-8T21:49:47+00:00,,,,15.92,102240.112
660000,2026-1-8T21:49:57+00:00,,,,15.85,102238.121
670000,2026-1-8T21:50:07+00:00,,,,15.79,102242.32
680000,2026-1-8T21:50:17+00:00,,,,15.74,102238.75
690000,2026-1-8T21:50:27+00:00,,,,15.70,102244.82
700000,2026-1-8T21:50:37+00:00,,,,15.64,102245.225
710000,2026-1-8T21:50:47+00:00,,,,15.59,102242.51
720000,2026-1-8T21:50:57+00:00,,,,15.52,102246.230
730000,2026-1-8T21:51:07+00:00,,,,15.45,102246.102
740000,2026-1-8T21:51:17+00:00,,,,15.39,102250.103
750000,2026-1-8T21:51:27+00:00,,,,15.35,102249.99
760000,2026-1-8T21:51:37+00:00,,,,15.31,102252.78
770000,2026-1-8T21:51:47+00:00,,,,15.24,102247.130
780000,2026-1-8T21:51:57+00:00,,,,15.20,102250.161
790000,2026-1-8T21:52:07+00:00,,,,15.15,102255.63
800000,2026-1-8T21:52:17+00:00,,,,15.9,102250.229
810000,2026-1-8T21:52:27+00:00,,,,15.3,102253.13
820000,2026-1-8T21:52:37+00:00,,,,14.99,102257.29
830000,2026-1-8T21:52:47+00:00,,,,14.93,102255.252
840000,2026-1-8T21:52:57+00:00,,,,14.85,102262.0
850000,2026-1-8T21:53:07+00:00,,,,14.79,102264.162
860000,2026-1-8T21:53:17+00:00,,,,14.75,102262.35
870000,2026-1-8T21:53:27+00:00,,,,14.68,102264.227
880000,2026-1-8T21:53:37+00:00,,,,14.63,102263.249
890000,2026-1-8T21:53:47+00:00,,,,14.58,102261.151
900000,2026-1-8T21:53:57+00:00,,,,14.53,102266.110
910000,2026-1-8T21:54:07+00:00,,,,14.47,102267.67
920000,2026-1-8T21:54:17+00:00,,,,14.42,102265.51
930000,2026-1-8T21:54:27+00:00,,,,14.38,102262.52
940000,2026-1-8T21:54:37+00:00,,,,14.34,102267.224
950000,2026-1-8T21:54:47+00:00,,,,14.29,102266.203
960000,2026-1-8T21:54:57+00:00,,,,14.25,102266.109
970000,2026-1-8T21:55:07+00:00,,,,14.21,102266.230
980000,2026-1-8T21:55:17+00:00,,,,14.16,102271.11
990000,2026-1-8T21:55:27+00:00,,,,14.14,102271.223
1000000,2026-1-8T21:55:37+00:00,,,,14.10,102269.180
1010000,2026-1-8T21:55:47+00:00,,,,14.6,102269.42
1020000,2026-1-8T21:55:57+00:00,,,,13.99,102267.164
1030000,2026-1-8T21:56:07+00:00,,,,13.96,102267.203
1040000,2026-1-8T21:56:17+00:00,,,,13.90,102270.199
