UTC_timestamp,co2,0.3um,date,time,Wind (MPH),Vis (MI),Weather,Sky Cond,Air Temp (F),Dewpoint (F),6hr Max (F),6hr Min (F),Rel Hum,Wind Chill (F),Heat Index (F),Altimeter (IN),Sea Level Pressure (MB),Precip 1hr,Precip 3hr,Precip 6hr
2026-1-12T00:12:08+00:00,446,1272,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:12:18+00:00,449,918,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:12:28+00:00,435,429,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:12:38+00:00,420,371,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:12:48+00:00,408,375,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:12:58+00:00,398,417,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:13:08+00:00,392,373,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:13:18+00:00,388,291,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:13:28+00:00,385,355,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:13:38+00:00,381,405,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:13:48+00:00,378,369,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:13:58+00:00,376,418,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:14:08+00:00,376,462,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:14:18+00:00,377,375,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:14:28+00:00,376,381,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:14:38+00:00,377,381,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:14:48+00:00,377,380,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:14:58+00:00,377,347,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
