ms,UTC_timestamp,PM1.0,PM2.5,PM10.0,0.3um,0.5um,1.0um,2.5um,5.0um,10.0um,co2
10000,2026-1-12T20:47:08+00:00,1,1,1,450,116,1,0,0,0,590
20000,2026-1-12T20:47:18+00:00,2,2,2,656,164,3,0,0,0,544
30000,2026-1-12T20:47:28+00:00,0,0,0,287,77,2,0,0,0,501
40000,2026-1-12T20:47:38+00:00,0,0,0,251,69,3,0,0,0,476
50000,2026-1-12T20:47:48+00:00,0,0,0,241,65,7,0,0,0,455
60000,2026-1-12T20:47:58+00:00,0,0,0,209,58,3,0,0,0,444
70000,2026-1-12T20:48:08+00:00,0,0,0,164,51,1,0,0,0,435
80000,2026-1-12T20:48:18+00:00,0,0,0,194,55,2,0,0,0,430
90000,2026-1-12T20:48:28+00:00,0,0,0,232,62,1,0,0,0,427
100000,2026-1-12T20:48:38+00:00,0,0,0,282,71,0,0,0,0,424
110000,2026-1-12T20:48:48+00:00,0,1,1,517,96,1,0,0,0,423
120000,2026-1-12T20:48:58+00:00,2,2,2,1089,171,3,0,0,0,422
130000,2026-1-12T20:49:08+00:00,2,2,2,988,168,2,0,0,0,421
140000,2026-1-12T20:49:18+00:00,0,0,0,376,91,0,0,0,0,420
150000,2026-1-12T20:49:28+00:00,2,2,2,708,189,0,0,0,0,419
160000,2026-1-12T20:49:38+00:00,7,7,7,1637,428,3,0,0,0,419
170000,2026-1-12T20:49:48+00:00,5,5,5,1276,320,4,0,0,0,417
180000,2026-1-12T20:49:58+00:00,1,1,1,531,129,1,0,0,0,416
190000,2026-1-12T20:50:08+00:00,0,0,0,291,81,2,0,0,0,415
200000,2026-1-12T20:50:18+00:00,0,0,0,160,47,1,0,0,0,415
210000,2026-1-12T20:50:28+00:00,0,0,0,147,43,0,0,0,0,415
220000,2026-1-12T20:50:38+00:00,0,0,1,152,42,1,1,1,1,415
230000,2026-1-12T20:50:48+00:00,0,0,0,160,43,0,0,0,0,414
240000,2026-1-12T20:50:58+00:00,0,0,0,191,55,2,0,0,0,414
250000,2026-1-12T20:51:08+00:00,0,0,0,191,57,1,0,0,0,414
260000,2026-1-12T20:51:18+00:00,0,0,0,205,65,0,0,0,0,414
270000,2026-1-12T20:51:28+00:00,0,0,0,178,55,1,0,0,0,414
280000,2026-1-12T20:51:38+00:00,0,0,0,181,53,0,0,0,0,414
290000,2026-1-12T20:51:48+00:00,0,0,0,215,63,0,0,0,0,413
300000,2026-1-12T20:51:58+00:00,0,0,0,204,62,1,0,0,0,413
310000,2026-1-12T20:52:08+00:00,0,0,0,190,59,0,0,0,0,413
320000,2026-1-12T20:52:18+00:00,0,0,0,186,60,3,0,0,0,413
330000,2026-1-12T20:52:28+00:00,0,0,0,193,62,3,0,0,0,413
340000,2026-1-12T20:52:38+00:00,0,0,0,171,55,1,0,0,0,413
350000,2026-1-12T20:52:48+00:00,0,0,0,167,53,0,0,0,0,413
360000,2026-1-12T20:52:58+00:00,0,0,0,184,57,0,0,0,0,412
370000,2026-1-12T20:53:08+00:00,0,0,0,205,61,1,0,0,0,412
380000,2026-1-12T20:53:18+00:00,1,1,1,254,70,3,0,0,0,411
390000,2026-1-12T20:53:28+00:00,0,0,1,222,60,2,1,1,0,410
400000,2026-1-12T20:53:38+00:00,0,0,0,171,47,0,0,0,0,409
410000,2026-1-12T20:53:48+00:00,0,0,0,167,49,0,0,0,0,409
420000,2026-1-12T20:53:58+00:00,0,0,0,222,65,2,0,0,0,409
430000,2026-1-12T20:54:08+00:00,1,1,1,232,66,2,0,0,0,409
440000,2026-1-12T20:54:18+00:00,0,0,1,224,62,2,1,0,0,410
450000,2026-1-12T20:54:28+00:00,0,0,0,215,56,0,0,0,0,410
460000,2026-1-12T20:54:38+00:00,0,0,0,205,52,0,0,0,0,410
470000,2026-1-12T20:54:48+00:00,0,0,0,195,52,1,0,0,0,410
480000,2026-1-12T20:54:58+00:00,0,0,0,201,62,3,0,0,0,411
490000,2026-1-12T20:55:08+00:00,0,0,0,221,66,5,0,0,0,411
500000,2026-1-12T20:55:18+00:00,0,0,0,165,49,1,0,0,0,411
510000,2026-1-12T20:55:28+00:00,0,0,0,210,65,0,0,0,0,411
520000,2026-1-12T20:55:38+00:00,0,0,0,227,68,0,0,0,0,411
530000,2026-1-12T20:55:48+00:00,0,0,0,196,60,2,0,0,0,412
540000,2026-1-12T20:55:58+00:00,0,0,0,177,52,2,0,0,0,412
550000,2026-1-12T20:56:08+00:00,0,0,0,196,57,2,0,0,0,412
560000,2026-1-12T20:56:18+00:00,0,0,0,207,57,1,0,0,0,412
570000,2026-1-12T20:56:28+00:00,0,0,0,195,56,3,0,0,0,412
580000,2026-1-12T20:56:38+00:00,0,1,1,203,60,6,0,0,0,412
590000,2026-1-12T20:56:48+00:00,0,0,0,192,52,4,0,0,0,412
600000,2026-1-12T20:56:58+00:00,0,0,0,189,56,1,0,0,0,412
610000,2026-1-12T20:57:08+00:00,0,0,0,230,70,1,0,0,0,412
620000,2026-1-12T20:57:18+00:00,0,0,0,210,63,3,0,0,0,411
630000,2026-1-12T20:57:28+00:00,0,0,1,225,69,5,1,0,0,412
640000,2026-1-12T20:57:38+00:00,0,0,0,205,63,6,0,0,0,412
650000,2026-1-12T20:57:48+00:00,0,0,0,183,58,2,0,0,0,412
660000,2026-1-12T20:57:58+00:00,0,0,0,197,60,0,0,0,0,412
670000,2026-1-12T20:58:08+00:00,0,0,0,164,48,2,0,0,0,412
680000,2026-1-12T20:58:18+00:00,0,0,0,163,48,2,0,0,0,412
690000,2026-1-12T20:58:28+00:00,0,0,0,192,59,2,0,0,0,412
700000,2026-1-12T20:58:38+00:00,1,1,1,252,77,3,0,0,0,412
710000,2026-1-12T20:58:48+00:00,1,1,1,262,77,3,0,0,0,412
720000,2026-1-12T20:58:58+00:00,0,0,0,183,54,1,0,0,0,412
730000,2026-1-12T20:59:08+00:00,0,0,0,187,56,5,0,0,0,412
740000,2026-1-12T20:59:18+00:00,0,0,0,183,58,6,0,0,0,412
750000,2026-1-12T20:59:28+00:00,0,0,0,144,43,0,0,0,0,412
760000,2026-1-12T20:59:38+00:00,0,0,0,159,45,0,0,0,0,412
770000,2026-1-12T20:59:48+00:00,0,0,0,213,65,0,0,0,0,412
780000,2026-1-12T20:59:58+00:00,0,0,0,210,68,1,0,0,0,413
790000,2026-1-12T21:00:08+00:00,0,0,0,238,76,2,0,0,0,413
800000,2026-1-12T21:00:18+00:00,0,0,0,188,57,1,0,0,0,413
810000,2026-1-12T21:00:28+00:00,0,0,0,147,44,1,0,0,0,413
820000,2026-1-12T21:00:38+00:00,0,0,0,154,46,1,1,1,0,413
830000,2026-1-12T21:00:48+00:00,0,0,0,133,39,1,0,0,0,413
840000,2026-1-12T21:00:58+00:00,0,0,0,183,56,3,0,0,0,413
850000,2026-1-12T21:01:08+00:00,0,1,1,204,63,5,0,0,0,412
860000,2026-1-12T21:01:18+00:00,0,0,0,174,54,1,0,0,0,412
870000,2026-1-12T21:01:28+00:00,0,0,0,234,73,3,0,0,0,412
880000,2026-1-12T21:01:38+00:00,1,1,1,243,74,6,0,0,0,412
890000,2026-1-12T21:01:48+00:00,0,1,1,200,63,6,0,0,0,412
900000,2026-1-12T21:01:58+00:00,1,1,1,237,71,3,0,0,0,412
910000,2026-1-12T21:02:08+00:00,1,1,1,297,89,5,0,0,0,413
