ms,UTC_timestamp,PM1.0,PM2.5,PM10.0,0.3um,0.5um,1.0um,2.5um,5.0um,10.0um,co2
10000,2025-12-29T21:52:07+00:00,0,0,0,84,27,0,0,0,0,405
20000,2025-12-29T21:52:17+00:00,0,0,0,63,20,0,0,0,0,405
30000,2025-12-29T21:52:27+00:00,0,0,0,69,22,1,0,0,0,405
40000,2025-12-29T21:52:37+00:00,0,0,0,52,14,2,2,0,0,405
50000,2025-12-29T21:52:47+00:00,0,0,0,21,3,1,1,0,0,405
60000,2025-12-29T21:52:57+00:00,0,0,0,21,6,3,0,0,0,405
70000,2025-12-29T21:53:07+00:00,0,0,0,31,6,2,0,0,0,405
80000,2025-12-29T21:53:17+00:00,0,0,0,48,12,0,0,0,0,405
90000,2025-12-29T21:53:27+00:00,0,0,0,75,24,0,0,0,0,405
100000,2025-12-29T21:53:37+00:00,0,0,0,75,25,5,0,0,0,405
110000,2025-12-29T21:53:47+00:00,0,0,0,63,21,5,1,0,0,405
120000,2025-12-29T21:53:57+00:00,0,0,0,45,15,2,0,0,0,405
130000,2025-12-29T21:54:07+00:00,0,0,0,35,11,3,1,0,0,405
140000,2025-12-29T21:54:17+00:00,0,0,0,59,18,4,2,1,0,405
150000,2025-12-29T21:54:27+00:00,0,0,0,80,21,3,0,0,0,405
160000,2025-12-29T21:54:37+00:00,0,0,0,41,9,1,1,0,0,405
170000,2025-12-29T21:54:47+00:00,0,0,0,25,3,1,0,0,0,404
180000,2025-12-29T21:54:57+00:00,0,0,0,33,9,3,0,0,0,404
190000,2025-12-29T21:55:07+00:00,0,0,0,48,16,5,1,1,1,404
200000,2025-12-29T21:55:17+00:00,0,0,0,46,15,6,2,0,0,404
210000,2025-12-29T21:55:27+00:00,0,0,0,44,14,3,1,0,0,404
220000,2025-12-29T21:55:37+00:00,0,0,0,41,13,1,1,0,0,404
230000,2025-12-29T21:55:47+00:00,0,0,1,60,20,2,2,1,1,404
240000,2025-12-29T21:55:57+00:00,0,0,0,76,25,0,0,0,0,404
250000,2025-12-29T21:56:07+00:00,0,0,0,55,18,1,0,0,0,404
260000,2025-12-29T21:56:17+00:00,0,0,0,46,15,2,0,0,0,404
270000,2025-12-29T21:56:27+00:00,0,0,0,30,10,2,1,0,0,404
280000,2025-12-29T21:56:37+00:00,0,0,0,48,11,3,1,0,0,404
290000,2025-12-29T21:56:47+00:00,0,0,0,44,9,1,1,0,0,403
300000,2025-12-29T21:56:57+00:00,0,0,0,33,10,0,0,0,0,403
310000,2025-12-29T21:57:07+00:00,0,0,0,60,19,3,1,0,0,403
320000,2025-12-29T21:57:17+00:00,0,0,0,56,16,3,2,1,0,403
330000,2025-12-29T21:57:27+00:00,0,0,0,40,11,1,0,0,0,403
340000,2025-12-29T21:57:37+00:00,0,0,0,47,12,2,1,1,1,402
350000,2025-12-29T21:57:47+00:00,0,0,0,49,12,2,0,0,0,402
360000,2025-12-29T21:57:57+00:00,0,0,0,40,12,4,1,0,0,402
370000,2025-12-29T21:58:07+00:00,0,0,0,66,18,3,2,0,0,402
380000,2025-12-29T21:58:17+00:00,0,0,0,117,29,2,1,0,0,401
390000,2025-12-29T21:58:27+00:00,0,0,0,70,18,2,0,0,0,402
400000,2025-12-29T21:58:37+00:00,0,0,0,35,10,2,1,1,0,402
