ms,UTC_timestamp,PM1.0,PM2.5,PM10.0,0.3um,0.5um,1.0um,2.5um,5.0um,10.0um,co2
10000,2026-1-19T19:26:08+00:00,16,19,19,2606,742,73,5,0,0,445
20000,2026-1-19T19:26:18+00:00,15,19,19,2505,703,74,6,0,0,432
30000,2026-1-19T19:26:28+00:00,9,11,11,1263,389,59,0,0,0,424
40000,2026-1-19T19:26:38+00:00,8,11,11,1212,390,60,0,0,0,420
50000,2026-1-19T19:26:48+00:00,9,11,11,1268,408,57,0,0,0,416
60000,2026-1-19T19:26:58+00:00,9,11,11,1290,409,57,1,0,0,414
70000,2026-1-19T19:27:08+00:00,10,12,12,1382,440,61,1,0,0,411
80000,2026-1-19T19:27:18+00:00,11,14,14,1572,499,77,1,0,0,410
90000,2026-1-19T19:27:28+00:00,8,11,11,1308,415,64,1,0,0,408
100000,2026-1-19T19:27:38+00:00,8,11,11,1206,382,55,1,0,0,408
110000,2026-1-19T19:27:48+00:00,9,11,12,1295,410,55,1,1,1,408
120000,2026-1-19T19:27:58+00:00,9,11,12,1318,411,53,1,1,0,406
130000,2026-1-19T19:28:08+00:00,9,11,11,1350,424,54,0,0,0,405
140000,2026-1-19T19:28:18+00:00,9,11,11,1317,422,46,0,0,0,403
150000,2026-1-19T19:28:28+00:00,9,10,10,1304,409,39,0,0,0,403
160000,2026-1-19T19:28:38+00:00,9,11,11,1279,402,44,0,0,0,402
170000,2026-1-19T19:28:48+00:00,10,11,11,1284,413,53,0,0,0,401
180000,2026-1-19T19:28:58+00:00,9,11,11,1245,406,54,1,1,0,399
190000,2026-1-19T19:29:08+00:00,9,11,11,1267,408,51,0,0,0,398
200000,2026-1-19T19:29:18+00:00,8,10,10,1198,381,60,0,0,0,397
210000,2026-1-19T19:29:28+00:00,9,11,11,1316,407,63,1,1,0,397
220000,2026-1-19T19:29:38+00:00,8,10,10,1271,382,58,0,0,0,396
230000,2026-1-19T19:29:48+00:00,8,9,10,1245,374,48,0,0,0,396
240000,2026-1-19T19:29:58+00:00,9,11,12,1378,434,50,1,0,0,395
250000,2026-1-19T19:30:08+00:00,9,11,12,1280,412,47,2,1,0,395
260000,2026-1-19T19:30:18+00:00,7,9,9,1064,335,42,1,0,0,395
270000,2026-1-19T19:30:28+00:00,7,8,8,1004,319,48,0,0,0,396
280000,2026-1-19T19:30:38+00:00,8,10,10,1139,368,48,1,0,0,395
290000,2026-1-19T19:30:48+00:00,8,9,9,1133,360,38,0,0,0,395
300000,2026-1-19T19:30:58+00:00,7,8,9,1100,348,38,0,0,0,394
310000,2026-1-19T19:31:08+00:00,8,10,10,1230,389,48,1,0,0,393
320000,2026-1-19T19:31:18+00:00,8,10,10,1215,391,45,0,0,0,393
330000,2026-1-19T19:31:28+00:00,8,10,10,1181,386,54,0,0,0,393
340000,2026-1-19T19:31:38+00:00,9,11,11,1231,401,62,1,0,0,392
350000,2026-1-19T19:31:48+00:00,8,9,9,1131,363,36,0,0,0,393
360000,2026-1-19T19:31:58+00:00,8,9,9,1170,370,40,0,0,0,392
370000,2026-1-19T19:32:08+00:00,9,10,11,1251,393,56,1,1,0,391
380000,2026-1-19T19:32:18+00:00,8,8,9,1166,364,38,0,0,0,390
390000,2026-1-19T19:32:28+00:00,8,11,11,1209,391,55,4,0,0,390
400000,2026-1-19T19:32:38+00:00,9,12,13,1290,420,71,5,0,0,390
