date,time,Prevailing Wind Magnitude (MPH),Gust Wind Magnitude (MPH),Vis (MI),Cloud Height 1 (100s of ft),Cloud Height 2 (100s of ft),Cloud Height 3 (100s of ft),Cloud Height 4 (100s of ft),Air Temp (F),Dewpoint (F),6hr Max (F),6hr Min (F),Rel Hum,Wind Chill (F),Heat Index (F),Altimeter (IN),Sea Level Pressure (MB),Precip 1hr,Precip 3hr,Precip 6hr,cloud_code_1,cloud_code_2,cloud_code_3,cloud_code_4,prevailing_wind_dir_code,gust_wind_dir_code,weather_code
2026-01-08,17:54,12.0,18.0,10.0,055,250,,,46.9,34.0,46.9,35.1,61.0,42.0,,30.14,1020.4,,,,2,1,-1,-1,4,0,0
2026-01-08,18:54,9.0,,10.0,055,250,,,46.9,33.1,,,59.0,43.0,,30.15,1020.8,,,,2,3,-1,-1,4,-1,13
2026-01-08,19:54,10.0,,10.0,033,250,,,46.9,34.0,,,61.0,43.0,,30.17,1021.6,,,,4,3,-1,-1,4,-1,13
2026-01-08,20:54,10.0,,10.0,035,250,,,44.1,32.0,,,63.0,39.0,,30.19,1022.1,,,,2,1,-1,-1,9,-1,0
2026-01-08,21:54,9.0,,10.0,035,250,,,43.0,30.9,,,63.0,38.0,,30.21,1023.0,,,,2,1,-1,-1,9,-1,0
2026-01-08,22:54,7.0,,10.0,250,,,,42.1,32.0,,,68.0,38.0,,30.24,1023.9,,,,2,-1,-1,-1,9,-1,0
2026-01-08,23:54,6.0,,10.0,250,,,,41.0,32.0,48.0,41.0,70.0,38.0,,30.25,1024.2,,,,2,-1,-1,-1,9,-1,0
2026-01-09,00:54,6.0,,10.0,250,,,,37.9,30.9,,,76.0,34.0,,30.26,1024.6,,,,2,-1,-1,-1,7,-1,0
2026-01-09,01:54,,,10.0,250,,,,39.0,32.0,,,76.0,,,30.29,1025.6,,,,2,-1,-1,-1,0,-1,0
2026-01-09,02:54,5.0,,10.0,,,,,37.9,30.9,,,76.0,35.0,,30.32,1026.5,,,,1,-1,-1,-1,4,-1,2
2026-01-09,03:54,7.0,,10.0,,,,,37.0,30.9,,,79.0,32.0,,30.31,1026.3,,,,1,-1,-1,-1,9,-1,2
2026-01-09,04:54,,,10.0,,,,,35.1,30.0,,,82.0,,,30.31,1026.1,,,,1,-1,-1,-1,0,-1,2
2026-01-09,05:54,,,10.0,,,,,32.0,30.0,42.1,30.0,92.0,,,30.32,1026.5,,,,1,-1,-1,-1,0,-1,2
2026-01-09,06:54,,,10.0,,,,,32.0,30.9,,,96.0,,,30.32,1026.7,,,,1,-1,-1,-1,0,-1,2
2026-01-09,07:54,3.0,,10.0,250,,,,28.9,28.9,,,100.0,,,30.33,1027.1,,,,2,-1,-1,-1,7,-1,0
2026-01-09,08:54,,,10.0,250,,,,30.0,28.9,,,96.0,,,30.34,1027.3,,,,2,-1,-1,-1,0,-1,0
2026-01-09,09:54,,,10.0,003,250,,,30.0,28.9,,,96.0,,,30.33,1026.8,,,,2,1,-1,-1,0,-1,0
2026-01-09,10:54,5.0,,10.0,003,250,,,27.0,27.0,,,100.0,22.0,,30.33,1027.1,,,,2,1,-1,-1,5,-1,0
2026-01-09,11:54,3.0,,10.0,140,250,,,30.0,28.9,32.0,27.0,96.0,,,30.32,1026.7,,,,2,0,-1,-1,5,-1,9
2026-01-09,12:54,3.0,,10.0,160,250,,,30.9,28.9,,,92.0,,,30.31,1026.3,,,,0,0,-1,-1,6,-1,9
2026-01-09,13:54,5.0,,10.0,003,160,250,,33.1,30.9,,,92.0,29.0,,30.32,1026.5,,,,2,1,1,-1,5,-1,0
2026-01-09,14:54,6.0,,10.0,002,160,250,,35.1,33.1,,,93.0,31.0,,30.32,1026.6,,,,2,1,1,-1,5,-1,0
2026-01-09,15:54,8.0,,10.0,030,160,250,,37.9,34.0,,,86.0,33.0,,30.28,1025.3,,,,2,1,1,-1,6,-1,0
2026-01-09,16:54,15.0,,10.0,020,140,250,,44.1,37.9,,,79.0,38.0,,30.25,1024.1,,,,4,3,0,-1,5,-1,9
2026-01-09,17:54,16.0,24.0,10.0,020,140,250,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,9
