ms,UTC_timestamp,PM1.0,PM2.5,PM10.0,0.3um,0.5um,1.0um,2.5um,5.0um,10.0um,co2
9999,2025-12-27T20:30:08+00:00,0,1,3,281,91,8,3,2,1,640
19999,2025-12-27T20:30:18+00:00,0,1,3,320,96,10,2,2,2,630
29999,2025-12-27T20:30:28+00:00,0,0,3,298,88,8,4,3,3,620
39999,2025-12-27T20:30:38+00:00,0,0,3,254,76,11,5,3,3,610
49999,2025-12-27T20:30:48+00:00,0,0,2,249,77,11,3,1,1,603
59999,2025-12-27T20:30:58+00:00,0,0,0,294,94,7,0,0,0,597
69999,2025-12-27T20:31:08+00:00,0,0,0,288,88,8,0,0,0,595
79999,2025-12-27T20:31:18+00:00,0,0,0,228,59,2,0,0,0,595
89999,2025-12-27T20:31:28+00:00,0,0,2,249,67,3,3,3,1,594
99999,2025-12-27T20:31:38+00:00,0,0,3,313,90,4,3,3,2,597
109999,2025-12-27T20:31:48+00:00,0,0,1,291,82,8,1,1,1,611
119999,2025-12-27T20:31:58+00:00,0,0,2,294,89,17,2,2,2,621
129999,2025-12-27T20:32:08+00:00,0,1,2,312,90,19,3,1,1,627
139999,2025-12-27T20:32:18+00:00,0,0,0,236,64,7,1,0,0,621
149999,2025-12-27T20:32:28+00:00,1,1,1,288,82,4,0,0,0,590
159999,2025-12-27T20:32:38+00:00,1,1,1,293,89,4,0,0,0,540
169999,2025-12-27T20:32:48+00:00,1,1,1,316,98,10,0,0,0,524
179999,2025-12-27T20:32:58+00:00,1,1,1,311,94,11,0,0,0,558
189999,2025-12-27T20:33:08+00:00,1,1,1,297,90,11,0,0,0,553
199999,2025-12-27T20:33:18+00:00,2,3,3,461,138,21,2,0,0,528
209999,2025-12-27T20:33:28+00:00,3,6,7,639,197,36,5,2,2,500
219999,2025-12-27T20:33:38+00:00,2,4,4,518,155,30,0,0,0,477
229999,2025-12-27T20:33:48+00:00,3,3,3,492,149,19,0,0,0,461
239999,2025-12-27T20:33:58+00:00,2,3,3,519,147,16,0,0,0,483
249999,2025-12-27T20:34:08+00:00,2,3,3,612,177,21,0,0,0,518
259999,2025-12-27T20:34:18+00:00,3,3,3,617,188,14,0,0,0,507
269999,2025-12-27T20:34:28+00:00,3,3,3,555,174,10,0,0,0,487
279999,2025-12-27T20:34:38+00:00,2,2,2,474,146,12,0,0,0,469
289999,2025-12-27T20:34:48+00:00,2,3,3,502,151,16,0,0,0,453
299999,2025-12-27T20:34:58+00:00,4,6,6,723,219,35,2,0,0,442
309999,2025-12-27T20:35:08+00:00,4,5,5,722,218,28,1,0,0,433
319999,2025-12-27T20:35:18+00:00,3,4,4,605,184,25,0,0,0,430
329999,2025-12-27T20:35:28+00:00,2,3,3,564,170,24,1,0,0,428
339999,2025-12-27T20:35:38+00:00,2,3,3,516,154,17,2,0,0,427
349999,2025-12-27T20:35:48+00:00,2,3,3,515,150,12,0,0,0,427
359999,2025-12-27T20:35:58+00:00,2,3,3,521,151,15,0,0,0,427
369999,2025-12-27T20:36:08+00:00,2,3,4,531,149,21,1,1,0,427
379999,2025-12-27T20:36:18+00:00,2,3,5,585,162,21,3,3,1,427
389999,2025-12-27T20:36:28+00:00,3,4,6,756,224,30,2,2,2,426
399999,2025-12-27T20:36:38+00:00,3,4,5,741,226,25,0,0,0,425
409999,2025-12-27T20:36:48+00:00,2,3,3,574,173,19,0,0,0,425
419999,2025-12-27T20:36:58+00:00,3,4,4,640,192,20,0,0,0,426
429999,2025-12-27T20:37:08+00:00,3,4,4,657,206,24,0,0,0,426
439999,2025-12-27T20:37:18+00:00,3,4,4,597,189,25,0,0,0,426
449999,2025-12-27T20:37:28+00:00,3,4,4,664,210,33,0,0,0,425
459999,2025-12-27T20:37:38+00:00,2,4,4,576,180,27,0,0,0,426
469999,2025-12-27T20:37:48+00:00,2,2,4,490,150,14,2,2,2,425
479999,2025-12-27T20:37:58+00:00,3,4,6,669,198,25,2,2,2,425
489999,2025-12-27T20:38:08+00:00,4,5,7,777,229,34,2,2,2,424
499999,2025-12-27T20:38:18+00:00,3,5,6,690,206,29,1,1,1,424
509999,2025-12-27T20:38:28+00:00,3,4,4,664,201,19,0,0,0,425
519999,2025-12-27T20:38:38+00:00,3,4,4,655,196,17,0,0,0,425
529999,2025-12-27T20:38:48+00:00,3,4,5,658,199,23,3,0,0,425
539999,2025-12-27T20:38:58+00:00,4,4,6,687,216,23,3,0,0,425
549999,2025-12-27T20:39:08+00:00,4,5,5,711,225,25,0,0,0,425
559999,2025-12-27T20:39:18+00:00,5,5,5,765,229,25,0,0,0,425
569999,2025-12-27T20:39:28+00:00,3,4,4,684,195,25,2,0,0,425
579999,2025-12-27T20:39:38+00:00,3,4,4,669,201,18,1,0,0,425
589999,2025-12-27T20:39:48+00:00,4,4,7,675,205,25,4,2,1,424
599999,2025-12-27T20:39:58+00:00,3,4,8,660,196,27,6,4,2,424
609999,2025-12-27T20:40:08+00:00,3,4,5,654,204,19,1,0,0,424
619999,2025-12-27T20:40:18+00:00,4,4,5,692,216,23,2,0,0,423
629999,2025-12-27T20:40:28+00:00,3,4,5,679,210,23,1,0,0,422
639999,2025-12-27T20:40:38+00:00,4,5,6,667,210,26,3,1,1,422
649999,2025-12-27T20:40:48+00:00,4,5,7,709,222,24,2,2,2,422
659999,2025-12-27T20:40:58+00:00,4,4,5,702,214,17,0,0,0,422
669999,2025-12-27T20:41:08+00:00,3,4,4,617,194,15,0,0,0,421
679999,2025-12-27T20:41:18+00:00,3,4,6,650,198,29,3,1,1,421
689999,2025-12-27T20:41:28+00:00,5,6,9,894,261,42,4,3,3,421
699999,2025-12-27T20:41:38+00:00,5,7,9,945,281,47,2,2,2,419
709999,2025-12-27T20:41:48+00:00,4,8,9,849,261,56,4,0,0,419
719999,2025-12-27T20:41:58+00:00,5,6,8,802,255,38,4,1,0,420
729999,2025-12-27T20:42:08+00:00,4,5,6,738,227,27,2,2,0,420
739999,2025-12-27T20:42:18+00:00,2,4,4,589,174,26,0,0,0,420
749999,2025-12-27T20:42:28+00:00,2,4,4,570,172,30,0,0,0,420
759999,2025-12-27T20:42:38+00:00,5,6,6,807,250,36,0,0,0,420
769999,2025-12-27T20:42:48+00:00,5,6,7,849,263,38,2,0,0,420
779999,2025-12-27T20:42:58+00:00,4,4,7,702,212,29,4,2,2,420
789999,2025-12-27T20:43:08+00:00,4,5,6,809,245,27,1,1,1,420
799999,2025-12-27T20:43:18+00:00,4,5,5,759,221,20,0,0,0,420
809999,2025-12-27T20:43:28+00:00,3,4,5,713,201,20,1,1,1,419
819999,2025-12-27T20:43:38+00:00,4,4,6,751,222,20,2,2,2,419
829999,2025-12-27T20:43:48+00:00,4,4,5,669,210,22,2,2,0,419
839999,2025-12-27T20:43:58+00:00,4,4,5,641,204,21,1,1,0,419
849999,2025-12-27T20:44:08+00:00,3,5,6,716,218,24,2,1,1,419
859999,2025-12-27T20:44:18+00:00,5,7,10,1041,304,40,4,2,2,419
869999,2025-12-27T20:44:28+00:00,5,7,9,984,299,43,2,0,0,419
879999,2025-12-27T20:44:38+00:00,6,8,9,993,308,50,1,0,0,420
889999,2025-12-27T20:44:48+00:00,9,16,16,1419,444,87,8,0,0,420
899999,2025-12-27T20:44:58+00:00,17,27,28,2486,765,144,16,1,1,420
909999,2025-12-27T20:45:08+00:00,19,32,39,2698,850,208,35,4,2,420
919999,2025-12-27T20:45:18+00:00,18,29,32,2562,796,183,22,1,1,420
929999,2025-12-27T20:45:28+00:00,15,21,22,2218,676,138,6,0,0,420
939999,2025-12-27T20:45:38+00:00,14,24,25,2135,655,142,16,2,1,420
949999,2025-12-27T20:45:48+00:00,13,24,26,2001,617,137,21,2,1,420
959999,2025-12-27T20:45:58+00:00,13,22,23,1920,593,127,14,1,1,420
969999,2025-12-27T20:46:08+00:00,15,22,23,2176,671,123,7,0,0,420
979999,2025-12-27T20:46:18+00:00,14,18,18,2015,612,98,2,0,0,420
989999,2025-12-27T20:46:28+00:00,11,15,15,1623,505,89,4,0,0,420
999999,2025-12-27T20:46:38+00:00,10,16,20,1467,462,106,16,4,2,420
1009999,2025-12-27T20:46:48+00:00,11,18,22,1681,527,130,13,3,2,420
1019999,2025-12-27T20:46:58+00:00,12,17,20,1862,571,106,8,2,0,420
1029999,2025-12-27T20:47:08+00:00,10,13,14,1518,461,75,2,0,0,420
1039999,2025-12-27T20:47:18+00:00,10,14,14,1384,432,85,5,0,0,420
1049999,2025-12-27T20:47:28+00:00,8,12,13,1263,397,61,5,0,0,420
1059999,2025-12-27T20:47:38+00:00,7,9,11,1182,354,44,3,1,1,420
1069999,2025-12-27T20:47:48+00:00,7,9,12,1164,354,51,3,2,2,420
1079999,2025-12-27T20:47:58+00:00,7,11,11,1218,373,60,0,0,0,420
1089999,2025-12-27T20:48:08+00:00,5,8,8,1076,312,43,0,0,0,420
1099999,2025-12-27T20:48:18+00:00,4,7,7,843,254,40,1,0,0,420
1109999,2025-12-27T20:48:28+00:00,4,6,7,739,221,37,3,1,1,420
1119999,2025-12-27T20:48:38+00:00,4,5,7,782,234,29,2,2,2,420
1129999,2025-12-27T20:48:48+00:00,4,6,6,849,259,21,1,0,0,420
1139999,2025-12-27T20:48:58+00:00,5,8,8,867,269,44,4,0,0,420
1149999,2025-12-27T20:49:08+00:00,4,7,7,801,238,41,2,0,0,420
1159999,2025-12-27T20:49:18+00:00,6,8,9,976,292,38,3,1,1,420
1169999,2025-12-27T20:49:28+00:00,5,9,9,911,288,35,5,0,0,420
1179999,2025-12-27T20:49:38+00:00,5,6,8,846,265,25,4,2,0,421
1189999,2025-12-27T20:49:48+00:00,6,7,11,957,284,32,8,6,0,421
1199999,2025-12-27T20:49:58+00:00,6,7,10,989,299,35,4,4,0,421
1209999,2025-12-27T20:50:08+00:00,6,6,9,919,276,37,4,4,2,421
1219999,2025-12-27T20:50:18+00:00,6,7,10,1056,307,35,3,2,2,421
1229999,2025-12-27T20:50:28+00:00,6,8,11,1041,313,45,4,2,2,421
1239999,2025-12-27T20:50:38+00:00,8,11,14,1183,367,65,6,2,2,421
1249999,2025-12-27T20:50:48+00:00,9,14,17,1417,442,80,6,2,2,421
1259999,2025-12-27T20:50:58+00:00,10,17,19,1596,497,104,6,0,0,421
1269999,2025-12-27T20:51:08+00:00,13,20,22,1955,595,124,5,2,1,421
1279999,2025-12-27T20:51:18+00:00,13,16,21,1839,542,94,6,6,4,421
1289999,2025-12-27T20:51:28+00:00,11,20,21,1713,525,119,17,1,1,421
1299999,2025-12-27T20:51:38+00:00,11,24,25,1669,531,122,28,0,0,421
1309999,2025-12-27T20:51:48+00:00,11,20,24,1593,494,115,20,3,3,421
1319999,2025-12-27T20:51:58+00:00,9,15,22,1392,428,105,16,6,4,421
