UTC_timestamp,co2,0.3um,date,time,Wind (MPH),Vis (MI),Weather,Sky Cond,Air Temp (F),Dewpoint (F),6hr Max (F),6hr Min (F),Rel Hum,Wind Chill (F),Heat Index (F),Altimeter (IN),Sea Level Pressure (MB),Precip 1hr,Precip 3hr,Precip 6hr
2026-1-8T21:39:08+00:00,388,1633,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:39:18+00:00,374,1614,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:39:28+00:00,380,608,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:39:38+00:00,380,549,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:39:48+00:00,365,453,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:39:58+00:00,353,413,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:40:08+00:00,334,462,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:40:18+00:00,321,450,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:40:28+00:00,309,492,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:40:38+00:00,302,572,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:40:48+00:00,297,600,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:40:58+00:00,293,489,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:41:08+00:00,290,441,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
