ms,UTC_timestamp,PM1.0,PM2.5,PM10.0,0.3um,0.5um,1.0um,2.5um,5.0um,10.0um,co2
10000,2025-12-27T06:05:09+00:00,0,0,0,37,12,4,0,0,0,254
20000,2025-12-27T06:05:46+00:00,0,0,0,24,8,3,1,0,0,250
30000,2025-12-27T06:05:56+00:00,0,0,0,14,4,0,0,0,0,247
40000,2025-12-27T06:06:06+00:00,0,0,0,29,9,1,0,0,0,245
50000,2025-12-27T06:06:16+00:00,0,0,0,34,11,0,0,0,0,244
60000,2025-12-27T06:06:26+00:00,0,0,0,23,7,1,0,0,0,243
70000,2025-12-27T06:06:36+00:00,0,0,0,42,13,3,0,0,0,243
80000,2025-12-27T06:06:46+00:00,0,0,0,27,8,1,0,0,0,244
90000,2025-12-27T06:06:56+00:00,0,0,0,12,4,0,0,0,0,244
100000,2025-12-27T06:07:06+00:00,0,0,0,15,5,0,0,0,0,244
110000,2025-12-27T06:07:16+00:00,0,0,0,38,12,3,1,0,0,244
120000,2025-12-27T06:07:26+00:00,0,0,0,47,15,5,3,1,0,244
130000,2025-12-27T06:07:36+00:00,0,0,0,32,10,2,2,1,0,244
140000,2025-12-27T06:07:46+00:00,0,0,0,38,12,0,0,0,0,244
150000,2025-12-27T06:07:56+00:00,0,0,0,32,10,1,0,0,0,244
160000,2025-12-27T06:08:06+00:00,0,0,0,24,8,1,1,0,0,244
170000,2025-12-27T06:08:16+00:00,0,0,0,34,11,2,1,0,0,244
180000,2025-12-27T06:08:26+00:00,0,0,0,48,14,4,0,0,0,244
190000,2025-12-27T06:08:36+00:00,0,0,0,53,16,7,1,0,0,244
200000,2025-12-27T06:08:51+00:00,0,0,0,108,34,7,1,0,0,244
213579,2025-12-27T06:09:04+00:00,0,0,0,99,31,3,1,0,0,243
227155,2025-12-27T06:09:18+00:00,0,0,0,48,16,2,0,0,0,243
240731,2025-12-27T06:09:31+00:00,0,0,0,59,17,4,0,0,0,243
254308,2025-12-27T06:09:45+00:00,0,0,0,38,8,3,0,0,0,243
267884,2025-12-27T06:09:59+00:00,0,0,0,33,9,1,0,0,0,242
