ms,UTC_timestamp,latitude,longitude,altitude,temperature,pressure
10000,2025-12-27T06:05:09+00:00,21.28461,-157.70171,29.10,26.61,101972.89
20000,2025-12-27T06:05:46+00:00,21.28454,-157.70178,26.50,26.63,101972.162
30000,2025-12-27T06:05:56+00:00,21.28458,-157.70162,32.40,26.64,101971.144
40000,2025-12-27T06:06:06+00:00,21.28458,-157.70162,32.40,26.68,101976.122
50000,2025-12-27T06:06:16+00:00,21.28457,-157.70172,28.80,26.71,101976.27
60000,2025-12-27T06:06:26+00:00,21.28462,-157.70169,31.10,26.72,101971.8
70000,2025-12-27T06:06:36+00:00,21.28465,-157.70171,31.10,26.74,101971.220
80000,2025-12-27T06:06:46+00:00,21.28466,-157.70182,31.50,26.76,101972.6
90000,2025-12-27T06:06:56+00:00,21.28449,-157.70180,28.50,26.76,101973.173
100000,2025-12-27T06:07:06+00:00,21.28459,-157.70170,29.30,26.78,101971.117
110000,2025-12-27T06:07:16+00:00,21.28456,-157.70171,28.80,26.77,101972.243
120000,2025-12-27T06:07:26+00:00,21.28456,-157.70165,28.40,26.76,101974.48
130000,2025-12-27T06:07:36+00:00,21.28456,-157.70165,28.40,26.72,101971.159
140000,2025-12-27T06:07:46+00:00,21.28456,-157.70165,28.40,26.70,101974.8
150000,2025-12-27T06:07:56+00:00,21.28456,-157.70165,28.40,26.71,101973.65
160000,2025-12-27T06:08:06+00:00,21.28456,-157.70165,28.40,26.69,101973.190
170000,2025-12-27T06:08:16+00:00,21.28456,-157.70165,28.40,26.68,101973.92
180000,2025-12-27T06:08:26+00:00,21.28456,-157.70165,28.40,26.66,101977.10
190000,2025-12-27T06:08:36+00:00,21.28456,-157.70165,28.40,26.63,101976.10
200000,2025-12-27T06:08:51+00:00,,,,26.61,101974.25
213579,2025-12-27T06:09:04+00:00,,,,26.61,101980.59
227155,2025-12-27T06:09:18+00:00,,,,26.55,101976.58
240731,2025-12-27T06:09:31+00:00,,,,26.48,101974.25
254308,2025-12-27T06:09:45+00:00,,,,26.46,101973.44
267884,2025-12-27T06:09:59+00:00,,,,26.48,101972.244
281460,2025-12-27T06:10:12+00:00,,,,26.47,101973.99
295038,2025-12-27T06:10:26+00:00,,,,26.47,101974.5
308614,2025-12-27T06:10:39+00:00,,,,26.50,101975.248
322190,2025-12-27T06:10:53+00:00,,,,26.51,101975.178
335766,2025-12-27T06:11:06+00:00,,,,26.50,101974.67
349344,2025-12-27T06:11:20+00:00,,,,26.48,101973.193
362920,2025-12-27T06:11:34+00:00,,,,26.49,101971.105
