,time_current,Prevailing Wind Magnitude (MPH)_current,Gust Wind Magnitude (MPH)_current,Vis (MI)_current,Cloud Height 1 (100s of ft)_current,Cloud Height 2 (100s of ft)_current,Cloud Height 3 (100s of ft)_current,Cloud Height 4 (100s of ft)_current,Air Temp (F)_current,Dewpoint (F)_current,6hr Max (F)_current,6hr Min (F)_current,Rel Hum_current,Wind Chill (F)_current,Heat Index (F)_current,Sea Level Pressure (MB)_current,Precip 1hr_current,Precip 3hr_current,Precip 6hr_current
0,21.9,9.0,,10.0,35.0,250.0,,,43.0,30.9,,,63.0,38.0,,1023.0,,,
1,21.9,9.0,,10.0,35.0,250.0,,,43.0,30.9,,,63.0,38.0,,1023.0,,,
2,21.9,9.0,,10.0,35.0,250.0,,,43.0,30.9,,,63.0,38.0,,1023.0,,,
3,21.9,9.0,,10.0,35.0,250.0,,,43.0,30.9,,,63.0,38.0,,1023.0,,,
4,21.9,9.0,,10.0,35.0,250.0,,,43.0,30.9,,,63.0,38.0,,1023.0,,,
5,21.9,9.0,,10.0,35.0,250.0,,,43.0,30.9,,,63.0,38.0,,1023.0,,,
6,22.9,7.0,,10.0,250.0,,,,42.1,32.0,,,68.0,38.0,,1023.9,,,
7,22.9,7.0,,10.0,250.0,,,,42.1,32.0,,,68.0,38.0,,1023.9,,,
8,22.9,7.0,,10.0,250.0,,,,42.1,32.0,,,68.0,38.0,,1023.9,,,
9,22.9,7.0,,10.0,250.0,,,,42.1,32.0,,,68.0,38.0,,1023.9,,,
10,22.9,7.0,,10.0,250.0,,,,42.1,32.0,,,68.0,38.0,,1023.9,,,
11,22.9,7.0,,10.0,250.0,,,,42.1,32.0,,,68.0,38.0,,1023.9,,,
12,23.9,6.0,,10.0,250.0,,,,41.0,32.0,48.0,41.0,70.0,38.0,,1024.2,,,
13,23.9,6.0,,10.0,250.0,,,,41.0,32.0,48.0,41.0,70.0,38.0,,1024.2,,,
14,23.9,6.0,,10.0,250.0,,,,41.0,32.0,48.0,41.0,70.0,38.0,,1024.2,,,
15,23.9,6.0,,10.0,250.0,,,,41.0,32.0,48.0,41.0,70.0,38.0,,1024.2,,,
16,23.9,6.0,,10.0,250.0,,,,41.0,32.0,48.0,41.0,70.0,38.0,,1024.2,,,
17,23.9,6.0,,10.0,250.0,,,,41.0,32.0,48.0,41.0,70.0,38.0,,1024.2,,,
18,0.9,6.0,,10.0,250.0,,,,37.9,30.9,,,76.0,34.0,,1024.6,,,
19,0.9,6.0,,10.0,250.0,,,,37.9,30.9,,,76.0,34.0,,1024.6,,,
20,0.9,6.0,,10.0,250.0,,,,37.9,30.9,,,76.0,34.0,,1024.6,,,
21,0.9,6.0,,10.0,250.0,,,,37.9,30.9,,,76.0,34.0,,1024.6,,,
22,0.9,6.0,,10.0,250.0,,,,37.9,30.9,,,76.0,34.0,,1024.6,,,
23,0.9,6.0,,10.0,250.0,,,,37.9,30.9,,,76.0,34.0,,1024.6,,,
24,1.9,,,10.0,250.0,,,,39.0,32.0,,,76.0,,,1025.6,,,
25,1.9,,,10.0,250.0,,,,39.0,32.0,,,76.0,,,1025.6,,,
26,1.9,,,10.0,250.0,,,,39.0,32.0,,,76.0,,,1025.6,,,
27,1.9,,,10.0,250.0,,,,39.0,32.0,,,76.0,,,1025.6,,,
28,1.9,,,10.0,250.0,,,,39.0,32.0,,,76.0,,,1025.6,,,
29,1.9,,,10.0,250.0,,,,39.0,32.0,,,76.0,,,1025.6,,,
30,2.9,5.0,,10.0,,,,,37.9,30.9,,,76.0,35.0,,1026.5,,,
31,2.9,5.0,,10.0,,,,,37.9,30.9,,,76.0,35.0,,1026.5,,,
32,2.9,5.0,,10.0,,,,,37.9,30.9,,,76.0,35.0,,1026.5,,,
33,2.9,5.0,,10.0,,,,,37.9,30.9,,,76.0,35.0,,1026.5,,,
34,2.9,5.0,,10.0,,,,,37.9,30.9,,,76.0,35.0,,1026.5,,,
35,2.9,5.0,,10.0,,,,,37.9,30.9,,,76.0,35.0,,1026.5,,,
36,3.9,7.0,,10.0,,,,,37.0,30.9,,,79.0,32.0,,1026.3,,,
37,3.9,7.0,,10.0,,,,,37.0,30.9,,,79.0,32.0,,1026.3,,,
38,3.9,7.0,,10.0,,,,,37.0,30.9,,,79.0,32.0,,1026.3,,,
39,3.9,7.0,,10.0,,,,,37.0,30.9,,,79.0,32.0,,1026.3,,,
40,3.9,7.0,,10.0,,,,,37.0,30.9,,,79.0,32.0,,1026.3,,,
41,3.9,7.0,,10.0,,,,,37.0,30.9,,,79.0,32.0,,1026.3,,,
42,4.9,,,10.0,,,,,35.1,30.0,,,82.0,,,1026.1,,,
43,4.9,,,10.0,,,,,35.1,30.0,,,82.0,,,1026.1,,,
44,4.9,,,10.0,,,,,35.1,30.0,,,82.0,,,1026.1,,,
45,4.9,,,10.0,,,,,35.1,30.0,,,82.0,,,1026.1,,,
46,4.9,,,10.0,,,,,35.1,30.0,,,82.0,,,1026.1,,,
47,4.9,,,10.0,,,,,35.1,30.0,,,82.0,,,1026.1,,,
48,5.9,,,10.0,,,,,32.0,30.0,42.1,30.0,92.0,,,1026.5,,,
49,5.9,,,10.0,,,,,32.0,30.0,42.1,30.0,92.0,,,1026.5,,,
50,5.9,,,10.0,,,,,32.0,30.0,42.1,30.0,92.0,,,1026.5,,,
51,5.9,,,10.0,,,,,32.0,30.0,42.1,30.0,92.0,,,1026.5,,,
52,5.9,,,10.0,,,,,32.0,30.0,42.1,30.0,92.0,,,1026.5,,,
53,5.9,,,10.0,,,,,32.0,30.0,42.1,30.0,92.0,,,1026.5,,,
54,6.9,,,10.0,,,,,32.0,30.9,,,96.0,,,1026.7,,,
55,6.9,,,10.0,,,,,32.0,30.9,,,96.0,,,1026.7,,,
56,6.9,,,10.0,,,,,32.0,30.9,,,96.0,,,1026.7,,,
57,6.9,,,10.0,,,,,32.0,30.9,,,96.0,,,1026.7,,,
58,6.9,,,10.0,,,,,32.0,30.9,,,96.0,,,1026.7,,,
59,6.9,,,10.0,,,,,32.0,30.9,,,96.0,,,1026.7,,,
60,7.9,3.0,,10.0,250.0,,,,28.9,28.9,,,100.0,,,1027.1,,,
61,7.9,3.0,,10.0,250.0,,,,28.9,28.9,,,100.0,,,1027.1,,,
62,7.9,3.0,,10.0,250.0,,,,28.9,28.9,,,100.0,,,1027.1,,,
63,7.9,3.0,,10.0,250.0,,,,28.9,28.9,,,100.0,,,1027.1,,,
64,7.9,3.0,,10.0,250.0,,,,28.9,28.9,,,100.0,,,1027.1,,,
65,7.9,3.0,,10.0,250.0,,,,28.9,28.9,,,100.0,,,1027.1,,,
66,8.9,,,10.0,250.0,,,,30.0,28.9,,,96.0,,,1027.3,,,
67,8.9,,,10.0,250.0,,,,30.0,28.9,,,96.0,,,1027.3,,,
68,8.9,,,10.0,250.0,,,,30.0,28.9,,,96.0,,,1027.3,,,
69,8.9,,,10.0,250.0,,,,30.0,28.9,,,96.0,,,1027.3,,,
70,8.9,,,10.0,250.0,,,,30.0,28.9,,,96.0,,,1027.3,,,
71,8.9,,,10.0,250.0,,,,30.0,28.9,,,96.0,,,1027.3,,,
72,9.9,,,10.0,3.0,250.0,,,30.0,28.9,,,96.0,,,1026.8,,,
73,9.9,,,10.0,3.0,250.0,,,30.0,28.9,,,96.0,,,1026.8,,,
74,9.9,,,10.0,3.0,250.0,,,30.0,28.9,,,96.0,,,1026.8,,,
75,9.9,,,10.0,3.0,250.0,,,30.0,28.9,,,96.0,,,1026.8,,,
76,9.9,,,10.0,3.0,250.0,,,30.0,28.9,,,96.0,,,1026.8,,,
77,9.9,,,10.0,3.0,250.0,,,30.0,28.9,,,96.0,,,1026.8,,,
78,10.9,5.0,,10.0,3.0,250.0,,,27.0,27.0,,,100.0,22.0,,1027.1,,,
79,10.9,5.0,,10.0,3.0,250.0,,,27.0,27.0,,,100.0,22.0,,1027.1,,,
80,10.9,5.0,,10.0,3.0,250.0,,,27.0,27.0,,,100.0,22.0,,1027.1,,,
81,10.9,5.0,,10.0,3.0,250.0,,,27.0,27.0,,,100.0,22.0,,1027.1,,,
82,10.9,5.0,,10.0,3.0,250.0,,,27.0,27.0,,,100.0,22.0,,1027.1,,,
83,10.9,5.0,,10.0,3.0,250.0,,,27.0,27.0,,,100.0,22.0,,1027.1,,,
84,11.9,3.0,,10.0,140.0,250.0,,,30.0,28.9,32.0,27.0,96.0,,,1026.7,,,
85,11.9,3.0,,10.0,140.0,250.0,,,30.0,28.9,32.0,27.0,96.0,,,1026.7,,,
86,11.9,3.0,,10.0,140.0,250.0,,,30.0,28.9,32.0,27.0,96.0,,,1026.7,,,
87,11.9,3.0,,10.0,140.0,250.0,,,30.0,28.9,32.0,27.0,96.0,,,1026.7,,,
88,11.9,3.0,,10.0,140.0,250.0,,,30.0,28.9,32.0,27.0,96.0,,,1026.7,,,
89,11.9,3.0,,10.0,140.0,250.0,,,30.0,28.9,32.0,27.0,96.0,,,1026.7,,,
90,12.9,3.0,,10.0,160.0,250.0,,,30.9,28.9,,,92.0,,,1026.3,,,
91,12.9,3.0,,10.0,160.0,250.0,,,30.9,28.9,,,92.0,,,1026.3,,,
92,12.9,3.0,,10.0,160.0,250.0,,,30.9,28.9,,,92.0,,,1026.3,,,
93,12.9,3.0,,10.0,160.0,250.0,,,30.9,28.9,,,92.0,,,1026.3,,,
94,12.9,3.0,,10.0,160.0,250.0,,,30.9,28.9,,,92.0,,,1026.3,,,
95,12.9,3.0,,10.0,160.0,250.0,,,30.9,28.9,,,92.0,,,1026.3,,,
96,13.9,5.0,,10.0,3.0,160.0,250.0,,33.1,30.9,,,92.0,29.0,,1026.5,,,
97,13.9,5.0,,10.0,3.0,160.0,250.0,,33.1,30.9,,,92.0,29.0,,1026.5,,,
98,13.9,5.0,,10.0,3.0,160.0,250.0,,33.1,30.9,,,92.0,29.0,,1026.5,,,
99,13.9,5.0,,10.0,3.0,160.0,250.0,,33.1,30.9,,,92.0,29.0,,1026.5,,,
100,13.9,5.0,,10.0,3.0,160.0,250.0,,33.1,30.9,,,92.0,29.0,,1026.5,,,
101,13.9,5.0,,10.0,3.0,160.0,250.0,,33.1,30.9,,,92.0,29.0,,1026.5,,,
102,14.9,6.0,,10.0,2.0,160.0,250.0,,35.1,33.1,,,93.0,31.0,,1026.6,,,
103,14.9,6.0,,10.0,2.0,160.0,250.0,,35.1,33.1,,,93.0,31.0,,1026.6,,,
104,14.9,6.0,,10.0,2.0,160.0,250.0,,35.1,33.1,,,93.0,31.0,,1026.6,,,
105,14.9,6.0,,10.0,2.0,160.0,250.0,,35.1,33.1,,,93.0,31.0,,1026.6,,,
